friendly_name,user_name,rate,comment
Amazon Basics 131-Piece General Household Home Repair and...,Minfar,5.0,"Our son recently went off to college out of state.  Its sort of a tradition in both mine and my wife's family to gift some sort of a tool set when a son or daughter goes off into the world, and I was looking for ""just the right"" kit.  I wanted a kit with a tape measure, level, hammer, pliers, and common wrenches and sockets.  This kit had it all!  Most kits run up the piece count with stupid things you seldom use, but this kit doesn't do that (not sure what I'd ever use those two small clamps for, but other kits add even more junk.) This kit was easily the best one I found on the market, even at twice the price.  This should last our son many years.  He's already used it a number of times at the dorm (and once folks found it he had a tool kit, they came knocking)."
Amazon Basics 131-Piece General Household Home Repair and...,Tyler Bell,4.0,Some tools feel cheaper than others. I wasn’t expecting much at less than $0.50 per tool. Everything stays where it should for the most part except for a few sockets. The most annoying thing is that they gave me a wrong size socket. Instead of a 1/2 I got a 15/32
Amazon Basics 131-Piece General Household Home Repair and...,Anya,5.0,"I needed a basic set of tools for my apartment.  This does the job.  It is not meant to be Craftsmen or NAPA quality, but if you need ""just enough"" tools, this will suit your needs."
Amazon Basics 131-Piece General Household Home Repair and...,Kelly,4.0,Will buy name brand next time
Amazon Basics 131-Piece General Household Home Repair and...,Sandy A,4.0,"I needed to buy a set of tools for all the random things so I will have to fix in my new place. This set has already lasted me through two furniture constructions, two window repairs , and some overall maintenance within my place."
Amazon Basics 131-Piece General Household Home Repair and...,Omar GlRd,5.0,good price for all the basic tools to keep a house running. They are sturdy and haven't given me troubles so far.
Amazon Basics 131-Piece General Household Home Repair and...,tanner lawson,4.0,Gets jobs done perfectly got just about everything needed
Amazon Basics 131-Piece General Household Home Repair and...,Jay Flack,5.0,Gift
Amazon Basics 131-Piece General Household Home Repair and...,Redvenom10/Greg Moore,5.0,"I am happy with it, I was able to change out my car head lights."
Amazon Basics 131-Piece General Household Home Repair and...,Al (Pop's) Means,4.0,"It's a nice little tool kit! Especially for beginners. It's got both household &amp; mechanics tools in one case. The case is a little flimsy, but other than that, it's alright.  I would recommend it for someone looking for their first tool set."
Amazon Basics 131-Piece General Household Home Repair and...,Travis T.,4.0,"I bought it to keep in my boat for any issues that arise.  It has everything you'd need for a young homeowner or a college kid, or as a travelling set for truck, cabin, boat etc."
Amazon Basics 131-Piece General Household Home Repair and...,just me,3.0,Needed a quick simple kit of tools to be shipped to a location so I didn't have to pack it in the suitcase.<br>That part worked out great and it was very handy to have when I got there. But you kind of get what you pay for. The Phillips screwdriver tip wore out in two days of use. The hacksaw blade failed immediately into a dull mess. Overall it worked out well but they are cheap tools for a quick cheap job
Amazon Basics 131-Piece General Household Home Repair and...,Jason Stephens,5.0,Awesome
Amazon Basics 131-Piece General Household Home Repair and...,The Albatross,4.0,"Look, my brother took my decent tool kit. Since he denied it, I had to start over and I was short on time and funds.<br><br>This isn’t a great kit, but it’s ok— see what you use often- then go out and buy a decent version of that.<br><br>And for G-d sakes, step one should be a good pair of safety glasses. Even if you are just putting together your ikea furniture, if the thought crosses through your head, “do I need safety glasses, then you do."
Amazon Basics 131-Piece General Household Home Repair and...,Leonardo,5.0,
Amazon Basics 131-Piece General Household Home Repair and...,Robert Patrick,3.0,"Could use another ""Ext"" in it, It has only a small Ext in it, Needs a Longer one also."
Amazon Basics 131-Piece General Household Home Repair and...,Evan,5.0,All the right tools to get the job done.
Amazon Basics 131-Piece General Household Home Repair and...,Beth smith,5.0,This is a good solid tool kit. I have bought these in the past for my kids starting college. Parents: Ignore the eye rolls and insist your children take one of these to college or their first apartment. Both my sons said it was the most used thing they had. They also said they were the only student on their floor that had tools. It made them very popular.
Amazon Basics 131-Piece General Household Home Repair and...,Rosa,3.0,This is well priced but you definitely get what you pay for. The most frustrating thing about this set is that the tools aren’t secured well in the case so when you close the lid half of the tools fall out.
Amazon Basics 131-Piece General Household Home Repair and...,Artur,3.0,"the quality of the instruments is very poor, but for this money you should not expect better quality"
